CUS0, Thao, 0123456789, 787000.000000
CUS1, Thanh, 0123456789, 9670000.000000
CUS2, Van, 1231, 2535000.000000
CUS3, Toan, 1231231, 100.000000
CUS4, Sang, 09123123, 378000.000000
CUS5, Phan, 0966966966, 50000.000000
CUS6, Van Thao, 0123123123, 50000.000000
CUS7, Tien, 0123123123, 70000.000000
CUS8, Gia, 0123123123, 0.000000
CUS9, Thanh, 0123123123, 0.000000
CUS10, Phan Thao, 0123123123, 175000.000000
CUS11, Tien, 0123123123, 50000.000000
CUS12, Toan, 0123123132, 260000.000000
CUS13, Toàn, 0123456789, 100.000000
CUS14, Thao, 0123456789, 140000.000000
CUS15, thao, 0123456789, 160000.000000
CUS16, khao, 0123456789, 0.000000
CUS17, khao, 0123456789, 0.000000
CUS18, thao, 0123456789, 0.000000
CUS19, thao, 0123456789, 0.000000
